Text,Etiqueta
encontrar mal preocupar sal amigo quedar aqui solo,Violento
hacer muchisimar ilusion hacer si querer dejal,Violento
encontrar bien pues si acabar informe afectar trabajo companero tomar,Violento
madre enferma si ayudar perder trabajo poder pagar hospital,Violento
nadie entender,Violento
nadie ir querer,Violento
ninguno empresa ir pagar aqui,Violento
relacion entregar 100 esperar mismo,Violento
si malo ir traer regalo rey,Violento
parecer genial querer estudiar carrera veras mismo pagar,Violento
claro poder salir amigo recordar haber empezar hacer vida sano,Violento
si querer deberir saber querer,Violento
tiempo llevar deberir saber sentir,Violento
dejar hacer saber hacer torpe pobre enternecer,Violento
preocupar culpa miar pedir mas poder hacer,Violento
solo hacer sentir bien si dejar moririo dia siguiente,Violento
cada vez visitar hacer sentir vivo,Violento
si saber pasar,Violento
situacion querer imaginar poner,Violento
decir loco,Violento
poner palabra nunca salir boca,Violento
tergiver palabra,Violento
dejar ser amigo si regalar comic,Violento
invitar fiesta cumpleano si ir bien vestido,Violento
si buen novio dejarir hacer querer,Violento
hecho,Violento
poder dejar asi solo,Violento
dar cuenta mal,Violento
nunca imaginado ir actuar asi decepcionar veras hacer,Violento
si hacer pedir ir,Violento
seguir actitud romper relacion,Violento
si ar ir pegar,Violento
si acompanar concierto acompanar medico,Violento
si seguir prometer regalar querer,Violento
si venir viaje empresa prometer ir medico hacer prueba fertilidad,Violento
seguir asi enfermare,Violento
terminar vida,Violento
disfrutar hacendomar dano,Violento
querer elegir ir madre vacaciones,Violento
saber dano hacer sentir querer,Violento
dilar querer quedar mas dia asi poder ir playa,Violento
cambiar mismo,Violento
ver valorar relacion,Violento
seguir asi romper,Violento
si dejar hacer locura,Violento
hecho hacer feliz poder hacer simple,Violento
nunca imaginado comportar asi,Violento
si querer decir saber necesitar,Violento
si hacer pedido saber pasar,Violento
hacer saber pasar,Violento
si hacer regalar lindo gato,Violento
poder hablar serio,Violento
creer buen persona despir incapaz hacer pedir,Violento
sensible,Violento
acordar invitar cenar buen pues ahora invitar,Violento
decir acordar,Violento
estresar pensar claridad,Violento
creer deber salir mas persona,Violento
solo pensar futuro,Violento
si verdad querer hacer,Violento
si sal amigo noche aqui regresar,Violento
si poder quedar noche necesitar tal vez alguien mas hacer,Violento
si comer luego veras dibujo,Violento
pues si comprar querer,Violento
si ir parque luego portar bien casa,Violento
di vida sacrificar querido faltar nunca agradar asi,Violento
nunca imaginar hacer asi,Violento
buen pues ver ver hacer,Violento
ver gente,Violento
buen veter si pasar pues,Violento
si querer salir noche amigo,Violento
hacer incapaz hacer pedir,Violento
encuentro mareado preocupar levantar hacer cena,Violento
si dejar poder llegar hacer tonteria,Violento
nadie mas ir entender,Violento
solo poder amar,Violento
si conocer deberir saber,Violento
despir tiempo seguir entendermer,Violento
querer salir amigo quedar,Violento
haber preparar cena especial noche preocupar sal amistad,Violento
ver capaz salir adelante,Violento
solo hacer sentir bien,Violento
si hacer saber ir pasar,Violento
provocar agresivo,Violento
dar necesitar ser infiel,Violento
poder vivir,Violento
si abandonar nadie,Violento
si sal amigo quedar solo aburrido,Violento
parecer ama,Violento
final tener quedar casa culpa,Violento
responder,Violento
saber escribir tarde responder,Violento
enviamelar fotito costar,Violento
parecer ama,Violento
calladito mas lindo,Violento
humor nadie ir aguantar,Violento
si nadie,Violento
mia nadie mas si nadie,Violento
ser mas lindo sonrei,Violento
callate nadie interesar tener decir,Violento
nadie ir creer,Violento
acar hacer decir,Violento
ir cuidar,Violento
caracter nadie ir aguantar,Violento
loco paso inventar,Violento
mujer decir realidad querer decir si,Violento
mirar poner,Violento
buscastar,Violento
buscar andar vestido asi,Violento
poner,Violento
contestar celular,Violento
mujer deber inspirar respeto,Violento
borracho,Violento
ir permitir persona,Violento
si dejar mato,Violento
si contar mato,Violento
si volver hablar amigo ir ver pasar,Violento
sabio si andar gordo,Violento
crear ansiedad serio,Violento
tener quitar culpa,Violento
impoluto solemne estupido,Violento
cobarde,Violento
paciencia infinito,Violento
alguno dar ir echar menos venir buscar,Violento
monton carne ojo,Violento
loco saber visto,Violento
ninito novio,Violento
ir maquillado,Violento
ir cara llevar hoy,Violento
comportate,Violento
senorito,Violento
carita mono nina poder escribir novela negro ir tomar serio,Violento
demasiado lista,Violento
hablar demasiado,Violento
demasiado libre,Violento
molesto sensibilidad,Violento
gustar falda poner,Violento
llamar recordar manana trabajar seguir ahi,Violento
planchar mirar,Violento
camiseta sal,Violento
solo amiga puto,Violento
poder dejar asi,Violento
cuanto ver comer llegar ahi,Violento
suerte,Violento
si realmente fiel querer confiar damar contrasena tuent,Violento
destrozado vida,Violento
puta cruel,Violento
ir quedar solo,Violento
ir arrastrar vida,Violento
escuchar empatia,Violento
acabar si cerrar aqui siempre dudar,Violento
necesitar,Violento
amiga querer querer,Violento
ir poner,Violento
arreglar,Violento
ir clase,Violento
claro faldita arreglar,Violento
maquillas,Violento
maquillas,Violento
menti solo decir verdad sobrereaccionar,Violento
ninata ir saber mas,Violento
cosa mujer deberir jugar baloncesto,Violento
ingenieria saber carrera chico verdad,Violento
ver vestido parecer mas femenino sudadera,Violento
